 SHOPPERS STOP LTD   ,,
 MEDPLUS             ,MEDICAL,
 Amazon Servicesƒ??Kind,AMAZON,
 INOX LEISURE LTD    ,TV,
 NARAYANA NETHRALAY  ,MEDICAL,
 E K RETAIL          ,GROCERY,
 HOME TOWNƒ??CTƒ??BENGALU,FURNITURE,
 PAYUƒ??WWW.PAYU.IN    ,,
 TATA SKY            ,TV,
 TATA SKY LTD        ,TV,
 Heels And Toes2.    ,CLOTH,
 SUBWAY              ,FOOD,DELIVERY
 PARADISE FOOD COURT ,FOOD,EATOUT
 PIZZA HUT PHD       ,FOOD,DELIVERY
 KANTI SWEETS        ,FOOD,SWEET
 PROGRESSIVE FOODS IN,FOOD,DELIVERY
 DIGIPHOTO SNOW CITY ,TRAVEL,
 K G SUDHAKAR KANCHAN,,
 PAYU MONEY          ,,
 SPENCERS RETAIL LIMI,GROCERY,
 AMMAS PASTRIES      ,FOOD,SWEET
 HM LEISURE          ,,
 SHIV SAGAR          ,FOOD,EATOUT
 MC DONALDS          ,FOOD,EATOUT
 BARISTA COFFEE      ,FOOD,COFFEE
 MEDPLUSOPTIVAL ƒ?? IN,MEDICAL,
 CITRUS PAY QUIKR    ,,
 SER TAX & CESS 14.5%,TAX,
 SER TAX & CESS 15%  ,TAX,
 WWW.IRCTC.CO.IN     ,TRAVEL,
 SERVICE TAX REVERSAL,TAX,
 Amazon Cashback Nov1,AMAZON,
 Online Payment      ,PAYMENT,
,,
