 IDEA PAYMENT        ,500.00
 BENISON SUPER MARKET,638.00
 AMAZONS SVCS        ,-2519.00
 WWW SWIGGY IN       ,252.00
 AMAZONS SVCS        ,5697.00
 SER TAX & CESS 14.5%,10.11
 SERVICE TAX REVERSAL,-8.00
PREVIOUS BALANCE,98159.85
Month, 4 2016
Expenditure
Merchant, Amount
 FORT JADHAV GADH    ,1816.00
 P.K. HOSPITALITY SER,230.00
 P.K. HOSPITALITY SER,470.00
 PayU                ,102.00
 WWW SWIGGY IN       ,210.00
 SWIGGY.IN           ,405.00
 WWW BIGBASKET COM   ,981.00
 ANAND SWEETS & SAVOU,174.00
 PayU                ,174.00
 PROGRESSIVE FOODS IN,252.00
 AMAZONS SVCS        ,1229.00
 AMAZONS SVCS        ,1349.00
 SHOPPERS STOP LTD   ,5000.00
 SHOPPERS STOP LTD   ,5809.00
 AMAZONS SVCS        ,-1229.00
 SWIGGY.IN           ,178.00
 SWIGGY.IN           ,215.00
 WWW SWIGGY IN       ,130.00
 AMAZONS SVCS        ,518.00
 INNOVATIVE RETAIL CO,356.00
 AMAZONS SVCS        ,500.00
 WWW BIGBASKET COM   ,834.00
 PayU                ,155.00
 MC DONALDS          ,181.19
 HM LEISURE          ,200.00
 WWW BIGBASKET COM   ,330.00
 SAPNA BOOK HOUSE    ,525.00
 videocond2h_TPSL    ,1950.00
 Mkdabbawala         ,270.00
 SANA SUPER MART     ,2546.00
 Mkdabbawala         ,130.00
 JUST BAKE           ,160.00
 JUST BAKE           ,215.00
 WWW SWIGGY IN       ,160.00
 PayU                ,160.00
 Mkdabbawala         ,90.00
 freshmenu_PayU      ,250.00
 TRUST CHEMISTS Koram,355.00
 WWW SWIGGY IN       ,295.00
 WWW BIGBASKET COM   ,371.00
 SANA SUPER MART     ,1665.00
 JUST BAKE           ,120.00
 JUST BAKE           ,235.00
 Mkdabbawala         ,459.00
 WWW BIGBASKET COM   ,536.00
 SWIGGY.IN           ,102.00
 SWIGGY.IN           ,129.00
 AMAZONS SVCS        ,349.00
 SANA SUPER MART     ,819.00
 WWW SWIGGY IN       ,265.00
 WWW BIGBASKET COM   ,433.00
 RELIGARE WELLNESS LT,464.00
 ANAND SWEETS & SAVOU,330.00
 FORTIS HOSPITALS LTD,600.00
 PayU                ,184.00
 INOX LEISURE LTD    ,400.00
 BOOKMYSHOW BILLDESK ,913.05
 SANA SUPER MART     ,294.00
 SANA SUPER MART     ,426.00
 WWW BIGBASKET COM   ,458.00
 RELIGARE WELLNESS LT,881.00
 JUST BAKE           ,230.00
 GIRIAS CHILDRENS EXP,1250.00
 PARADISE FOOD COURT ,268.00
 RELIGARE WELLNESS LT,380.00
 OOMPH HAIR AND BEAUT,498.00
 Online Payment      ,-64100.00
 WWW BIGBASKET COM   ,423.00
 RAJASHREE PETROLEUM ,1352.64
 BENISON SUPER MARKET,1979.00
 SWIGGY.IN           ,122.00
 AIRTEL              ,1660.45
 SHOPPERS STOP LTD   ,1495.00
 flintobox_PayU      ,1785.00
 WWW SWIGGY IN       ,303.00
 REAL MART           ,862.00
 DIGIPHOTO SNOW CITY ,250.00
 SER TAX & CESS 14.5%,4.78
 SERVICE TAX REVERSAL,-4.78
PREVIOUS BALANCE,64042.45
Month, 5 2016
Expenditure
Merchant, Amount
 BENGALURU LEISURE PR,1100.00
 WWW BIGBASKET COM   ,478.00
 ANAND SWEETS & SAVOU,111.00
 ANAND SWEETS & SAVOU,131.00
 IDEA PAYMENT        ,500.00
 SAPNA BOOK HOUSE    ,619.00
 SANGEETHA           ,1600.00
 HATHWAY CABLE & DATA,3500.00
 CITRUS PAY QUIKR    ,97.00
 WWW BIGBASKET COM   ,1421.00
 MEDPLUS             ,311.00
 BENISON SUPER MARKET,2614.00
 K G SUDHAKAR KANCHAN,225.00
 AMAZONS SVCS        ,349.00
 M K AHMED FRUITS AND,535.00
 INSTAKART SERVICES P,16999.00
 WWW BIGBASKET COM   ,687.00
 PayU                ,323.00
 VIRAJ HOTELS        ,925.00
 SIDDA SRI ENTERPRISE,987.00
 KRISPY KREME        ,540.00
 AMAZONS SVCS        ,269.00
 M K AHMED FRUITS AND,1157.00
 AMAZONS SVCS        ,2526.00
 HOME STOP RETAIL FOR,4148.00
 HOME STOP RETAIL FOR,13000.00
 SANA SUPER MART     ,865.00
 UDEMY.COM           ,1326.29
 FORTIS HOSPITALS LTD,600.00
 Online Payment      ,-51000.00
 AMAZONS SVCS        ,499.00
 WWW BIGBASKET COM   ,630.00
 SWIGGY.IN           ,459.00
 WWW SWIGGY IN       ,432.00
 AMAZONS SVCS        ,820.00
 AMAZONS SVCS        ,975.00
 MEDPLUS             ,126.00
 SANA SUPER MART     ,279.00
 M K AHMED FRUITS AND,759.00
 WWW BIGBASKET COM   ,615.00
 WWW BIGBASKET COM   ,1003.00
 SANA SUPER MART     ,644.00
 AIRTEL              ,1571.21
 AMAZONS SVCS        ,494.00
 AMAZONS SVCS        ,308.75
 RAZORPAY PAYMENTS   ,370.00
 M K AHMED FRUITS AND,730.00
 SANA SUPER MART     ,1813.00
 HATHWAY CABLE & DATA,4000.00
 WWW BIGBASKET COM   ,62.00
 REAL MART           ,338.00
 WWW BIGBASKET COM   ,671.00
 WWW.IRCTC.CO.IN INR ,1312.30
 WWW.IRCTC.CO.IN INR ,2894.25
 WWW.IRCTC.CO.IN INR ,2894.25
 SHOPPERS STOP LTD   ,2999.00
 WWW GOIBIBO COM     ,8294.00
 WWW GOIBIBO COM     ,8294.00
 SHOPPERS STOP LTD   ,10000.00
 SER TAX & CESS 14.5%,25.12
PREVIOUS BALANCE,50908.78
Month, 6 2016
Expenditure
